Geo_Name,state_code,Survey_Year,Tax_Type,item,Amount
Michigan,23,2019,Total Taxes,T00,"30,270,130"
Michigan,23,2019,Property Taxes,T01,"2,194,160"
Michigan,23,2019,Sales and Gross Receipts Taxes,TA1,"14,347,394"
Michigan,23,2019,License Taxes,TA3,"2,030,560"
Michigan,23,2019,Income Taxes,TA4,"11,292,994"
Michigan,23,2019,Other Taxes,TA5,"405,022"
Minnesota,24,2019,Total Taxes,T00,"28,175,795"
Minnesota,24,2019,Property Taxes,T01,"812,497"
Minnesota,24,2019,Sales and Gross Receipts Taxes,TA1,"11,169,575"
Minnesota,24,2019,License Taxes,TA3,"1,495,685"
Minnesota,24,2019,Income Taxes,TA4,"14,111,719"
Minnesota,24,2019,Other Taxes,TA5,"586,319"
Mississippi,25,2019,Total Taxes,T00,"8,288,883"
Mississippi,25,2019,Property Taxes,T01,"28,362"
Mississippi,25,2019,Sales and Gross Receipts Taxes,TA1,"5,232,943"
Mississippi,25,2019,License Taxes,TA3,"512,541"
Mississippi,25,2019,Income Taxes,TA4,"2,463,296"
Mississippi,25,2019,Other Taxes,TA5,"51,741"
Missouri,26,2019,Total Taxes,T00,"13,181,385"
Missouri,26,2019,Property Taxes,T01,"34,022"
Missouri,26,2019,Sales and Gross Receipts Taxes,TA1,"5,549,210"
Missouri,26,2019,License Taxes,TA3,"628,550"
Missouri,26,2019,Income Taxes,TA4,"6,956,929"
Missouri,26,2019,Other Taxes,TA5,"12,674"
Montana,27,2019,Total Taxes,T00,"3,168,557"
Montana,27,2019,Property Taxes,T01,"312,300"
Montana,27,2019,Sales and Gross Receipts Taxes,TA1,"663,096"
Montana,27,2019,License Taxes,TA3,"388,817"
Montana,27,2019,Income Taxes,TA4,"1,597,960"
Montana,27,2019,Other Taxes,TA5,"206,384"
Nebraska,28,2019,Total Taxes,T00,"5,754,834"
Nebraska,28,2019,Property Taxes,T01,127
Nebraska,28,2019,Sales and Gross Receipts Taxes,TA1,"2,579,592"
Nebraska,28,2019,License Taxes,TA3,"184,373"
Nebraska,28,2019,Income Taxes,TA4,"2,969,418"
Nebraska,28,2019,Other Taxes,TA5,"21,324"
Nevada,29,2019,Total Taxes,T00,"9,744,547"
Nevada,29,2019,Property Taxes,T01,"335,207"
Nevada,29,2019,Sales and Gross Receipts Taxes,TA1,"7,835,623"
Nevada,29,2019,License Taxes,TA3,"700,863"
Nevada,29,2019,Income Taxes,TA4,X
Nevada,29,2019,Other Taxes,TA5,"872,854"
New Hampshire,30,2019,Total Taxes,T00,"2,969,381"
New Hampshire,30,2019,Property Taxes,T01,"408,499"
New Hampshire,30,2019,Sales and Gross Receipts Taxes,TA1,"993,686"
New Hampshire,30,2019,License Taxes,TA3,"465,056"
New Hampshire,30,2019,Income Taxes,TA4,"954,387"
New Hampshire,30,2019,Other Taxes,TA5,"147,753"
New Jersey,31,2019,Total Taxes,T00,"38,844,103"
New Jersey,31,2019,Property Taxes,T01,"5,481"
New Jersey,31,2019,Sales and Gross Receipts Taxes,TA1,"16,042,909"
New Jersey,31,2019,License Taxes,TA3,"1,708,516"
New Jersey,31,2019,Income Taxes,TA4,"19,954,700"
New Jersey,31,2019,Other Taxes,TA5,"1,132,497"
New Mexico,32,2019,Total Taxes,T00,"7,427,647"
New Mexico,32,2019,Property Taxes,T01,"86,754"
New Mexico,32,2019,Sales and Gross Receipts Taxes,TA1,"3,684,329"
New Mexico,32,2019,License Taxes,TA3,"332,445"
New Mexico,32,2019,Income Taxes,TA4,"1,792,638"
